featureNames
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Presence
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Coverage
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Mean)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Max)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Min)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Std)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Kurtosis)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Skewness)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Mean)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Longest)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Shortest)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Std)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Kurtosis)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Skewness)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Mean)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Max)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Min)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Std)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Kurtosis)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Skewness)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Direction (Up)
ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando to Non Glissando Notes Ratio
