featureNames
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Presence
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Coverage
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Extent (Mean)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Extent (Max)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Extent (Min)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Extent (Std)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Extent (Kurtosis)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Extent (Skewness)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Length (Mean)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Length (Longest)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Length (Shortest)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Length (Std)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Length (Kurtosis)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Length (Skewness)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Slope (Mean)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Slope (Max)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Slope (Min)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Slope (Std)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Slope (Kurtosis)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Slope (Skewness)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando Direction (Up)
VOICE-EXPRESSIVE_TECHNIQUES-Glissando to Non Glissando Notes Ratio
