featureNames
VOICE-EXPRESSIVE_TECHNIQUES-ART-Staccato Transitions (%)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Legato Transitions (%)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Other Transitions (%)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Staccato Notes Duration (%)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Legato Notes Duration (%)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (%)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Staccato Notes Duration (Mean)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Staccato Notes Duration (Max)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Staccato Notes Duration (Min)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Staccato Notes Duration (Std)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Staccato Notes Duration (Kurtosis)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Staccato Notes Duration (Skewness)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Legato Notes Duration (Mean)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Legato Notes Duration (Max)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Legato Notes Duration (Min)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Legato Notes Duration (Std)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Legato Notes Duration (Kurtosis)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Legato Notes Duration (Skewness)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Mean)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Max)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Min)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Std)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Kurtosis)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Skewness)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Transitions to Different Articulation State (Per Sec)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Transitions to Different Articulation State (Per State)
VOICE-EXPRESSIVE_TECHNIQUES-ART-State Transitions Staccato -> Legato (Per Sec)
VOICE-EXPRESSIVE_TECHNIQUES-ART-State Transitions Staccato -> Other (Per Sec)
VOICE-EXPRESSIVE_TECHNIQUES-ART-State Transitions Legato -> Staccato (Per Sec)
VOICE-EXPRESSIVE_TECHNIQUES-ART-State Transitions Legato -> Other (Per Sec)
VOICE-EXPRESSIVE_TECHNIQUES-ART-State Transitions Other -> Staccato (Per Sec)
VOICE-EXPRESSIVE_TECHNIQUES-ART-State Transitions Other -> Legato (Per Sec)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Longest Sequence of Staccato Notes
VOICE-EXPRESSIVE_TECHNIQUES-ART-Longest Sequence of Legato Notes
VOICE-EXPRESSIVE_TECHNIQUES-ART-Longest Sequence of Other Notes
VOICE-EXPRESSIVE_TECHNIQUES-ART-Type of Staccato (Mean)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Type of Staccato (Max)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Type of Staccato (Min)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Type of Staccato (Std)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Type of Staccato (Kurtosis)
VOICE-EXPRESSIVE_TECHNIQUES-ART-Type of Staccato (Skewness)
