featureNames
VOICE-RHYTHM-Short Notes (%)
VOICE-RHYTHM-Medium Notes (%)
VOICE-RHYTHM-Long Notes (%)
VOICE-RHYTHM-Short Notes Duration (%)
VOICE-RHYTHM-Medium Notes Duration (%)
VOICE-RHYTHM-Long Notes Duration (%)
VOICE-RHYTHM-Short Notes Duration (Mean)
VOICE-RHYTHM-Short Notes Duration (Max)
VOICE-RHYTHM-Short Notes Duration (Min)
VOICE-RHYTHM-Short Notes Duration (Std)
VOICE-RHYTHM-Short Notes Duration (Kurtosis)
VOICE-RHYTHM-Short Notes Duration (Skewness)
VOICE-RHYTHM-Medium Notes Duration (Mean)
VOICE-RHYTHM-Medium Notes Duration (Max)
VOICE-RHYTHM-Medium Notes Duration (Min)
VOICE-RHYTHM-Medium Notes Duration (Std)
VOICE-RHYTHM-Medium Notes Duration (Kurtosis)
VOICE-RHYTHM-Medium Notes Duration (Skewness)
VOICE-RHYTHM-Long Notes Duration (Mean)
VOICE-RHYTHM-Long Notes Duration (Max)
VOICE-RHYTHM-Long Notes Duration (Min)
VOICE-RHYTHM-Long Notes Duration (Std)
VOICE-RHYTHM-Long Notes Duration (Kurtosis)
VOICE-RHYTHM-Long Notes Duration (Skewness)
VOICE-RHYTHM-Transitions to Different State (Per Sec)
VOICE-RHYTHM-Transitions to Different State (Per Note)
VOICE-RHYTHM-State Transitions Short -> Medium (Per Sec)
VOICE-RHYTHM-State Transitions Short -> Long (Per Sec)
VOICE-RHYTHM-State Transitions Medium -> Short (Per Sec)
VOICE-RHYTHM-State Transitions Medium -> Long (Per Sec)
VOICE-RHYTHM-State Transitions Long -> Short (Per Sec)
VOICE-RHYTHM-State Transitions Long -> Medium (Per Sec)
VOICE-RHYTHM-Longest Sequence of Short Notes
VOICE-RHYTHM-Longest Sequence of Medium Notes
VOICE-RHYTHM-Longest Sequence of Long Notes
