0
0.00580499
0.01161
0.017415	835.421
0.02322	850.515
0.0290249	848.552	423.786
0.0348299	844.152	422.564
0.0406349	847.083	424.276
0.0464399	849.533	424.521
0.0522449	849.043	423.786
0.0580499	846.105	420.616
0.0638549	853.468	424.276
0.0696599	852.975	425.995
0.0754649	853.468	426.241
0.0812698	853.468	426.487
0.0870748	852.482	426.734
0.0928798	848.552	426.981
0.0986848	845.128	424.276
0.10449	847.573	426.487
0.110295	847.083	427.721
0.1161	848.552	425.995
0.121905	850.024	426.734
0.12771	849.043	425.749
0.133515	848.062	424.276
0.13932	851.99	425.749
0.145125	854.948	426.487
0.15093	851.006	425.749
0.156735	851.498	426.241
0.16254	850.515	425.995
0.168345	851.006	425.995
0.17415	855.936	427.474
0.179955	856.431	427.968
0.18576	854.454	427.968
0.191565	849.533	425.749
0.19737	846.105	421.345
0.203175	847.083	423.542
0.20898	846.594	423.786
0.214785	845.617	422.564
0.22059	843.178	422.076
0.226395	847.083	423.297
0.2322	848.062	423.786
0.238005	849.043	424.521
0.24381	851.498	425.258
0.249615	854.948	427.227
0.255419	853.468	426.734
0.261224	851.006	427.968
0.267029	853.961	427.474
0.272834	856.431	428.215
0.278639	854.948	427.227
0.284444	852.482	427.227
0.290249	852.482	426.734
0.296054	853.468	427.227
0.301859	854.948	427.227
0.307664	852.975	424.276
0.313469	854.454	428.463
0.319274	857.421	428.215
0.325079	858.412	427.968
0.330884	851.99	425.503
0.336689	851.498	425.995
0.342494	854.454	427.968
0.348299	860.895	429.95
0.354104	852.975	425.503
0.359909	851.006	425.503
0.365714	838.806	425.503
0.371519	843.665	421.345
0.377324	851.006	426.241
0.383129	851.99	427.474
0.388934	851.006	427.721
0.394739	853.961	426.241
0.400544	851.006	423.297
0.406349	854.454	427.474
0.412154	860.398	429.206
0.417959	854.948	426.734
0.423764	849.043	424.031
0.429569	844.64	425.503
0.435374	849.533	425.995
0.441179	851.006	425.749
0.446984	849.043	428.463
0.452789	846.594	426.241
0.458594	850.515	426.487
0.464399	847.083	423.542
0.470204	846.105	423.542
0.476009	843.665	423.053
0.481814	848.552	425.503
0.487619	855.442	428.215
0.493424	857.421	427.721
0.499229	851.99	425.012
0.505034	848.552	422.32
0.510839	852.975	425.258
0.516644	850.515	424.767
0.522449	849.533	424.031
0.528254	846.594	423.297
0.534059	846.105	423.297
0.539864	845.128	423.786
0.545669	846.105	423.053
0.551474	846.594	423.542
0.557279	846.105	423.053
0.563084	851.006	425.749
0.568889	850.515	424.767	425.503
0.574694	850.515	425.503	425.995
0.580499	855.442	426.241	425.258
0.586304	858.412	429.702	426.487
0.592109	850.515	425.749	426.734
0.597914	850.024	427.474	426.734
0.603719	848.552	425.749	425.995
0.609524	854.948	424.767	425.995
0.615329	849.043	425.258	425.995
0.621134	847.083	424.521	424.521
0.626939	851.498	426.241	426.241
0.632744	854.454	427.474
0.638549	856.926	427.968
0.644354	858.412	427.721
0.650159	854.454	426.241
0.655964	850.515	425.258
0.661769	847.573	425.258
0.667574	854.948	427.721
0.673379	857.421	429.206
0.679184	856.926	429.454
0.684989	854.454	429.95
0.690794	847.083	423.297
0.696599	843.665	422.564
0.702404	849.043	424.276
0.708209	851.99	425.258
0.714014	849.533	424.521
0.719819	852.482	426.487
0.725624	856.926	430.447
0.731429	853.468	426.734
0.737234	851.006	425.503
0.743039	853.468	426.734
0.748844	852.975	425.258
0.754649	850.024	424.767
0.760454	844.64	424.031
0.766258	843.665	423.053
0.772063	847.083	423.297
0.777868	846.105	424.521
0.783673	845.617	427.227
0.789478	847.083	426.241
0.795283	851.006	426.241
0.801088	853.961	427.474
0.806893	855.442	427.474
0.812698	853.468	426.981
0.818503	849.533	426.241
0.824308	848.552	424.767
0.830113	848.552	424.767
0.835918	851.006	425.995
0.841723	846.105	425.995
0.847528	848.062	424.521
0.853333	847.573	424.031
0.859138	844.152	421.589
0.864943	844.152	422.076
0.870748	847.573	424.031
0.876553	848.062	424.521
0.882358	848.062	422.564
0.888163	846.105	423.786
0.893968	845.617	423.542
0.899773	848.552	424.276
0.905578	851.498	426.241
0.911383	853.961	425.749
0.917188	853.468	427.474
0.922993	851.498	425.012
0.928798	850.515	425.995
0.934603	854.454	428.215
0.940408	853.468	427.227
0.946213	850.024	425.995
0.952018	850.024	426.487
0.957823	851.498	426.981
0.963628	854.948	428.71
0.969433	853.468	426.734
0.975238	853.961	427.474
0.981043	856.431	428.71
0.986848	854.948	427.968
0.992653	851.006	425.749
0.998458	850.024	425.503
1.00426	856.926	428.71
1.01007	855.936	426.241
1.01587	853.468	425.503
1.02168	852.975	425.503
1.02748	855.442	426.487
1.03329	851.99	423.786
1.03909	851.498	425.012
1.0449	848.062	422.808
1.0507	843.178	421.833
1.05651	847.573	424.031
1.06231	851.006	425.749
1.06812	852.482	425.503
1.07392	854.454	428.463
1.07973	853.468	428.958
1.08553	850.024	424.031
1.09134	845.617	423.786
1.09714	847.573	423.786
1.10295	849.043	424.276
1.10875	852.482	428.215
1.11456	856.926	430.199
1.12036	851.006	426.241
1.12617	849.043	426.734
1.13197	849.533	429.206
1.13778	848.062	426.734
1.14358	851.006	426.981
1.14939	845.617	426.487
1.15519	846.594	425.503
1.161	847.573	425.012
1.1668	848.552	424.031
1.17261	850.024	429.454
1.17841	851.99	424.031
1.18422	852.482	425.258
1.19002	853.468	426.487	850.024
1.19583	847.573	426.734	846.105
1.20163	851.006	425.258	848.062
1.20744	846.105	424.521	847.573
1.21324	846.594	421.102	854.454
1.21905	847.083	423.053	850.024
1.22485	849.043	424.767	850.024
1.23066	849.043	424.031	849.043
1.23646	848.552	425.012	848.552
1.24227	851.006	426.487	851.006
1.24807	851.006	427.474	851.498
1.25388	850.024	425.503	850.024	425.012
1.25968	851.006	424.521	851.498	426.487
1.26549	847.573	423.297	849.533	428.463
1.27129	848.552	424.276	849.043	427.721
1.2771	424.767	850.515	427.474
1.2829	425.995	850.515	427.227
1.28871	428.215	851.006	428.958
1.29451	427.968	853.468	428.215
1.30032	426.734	853.961	427.721
1.30612	427.227	851.498	427.474
1.31193	425.503	850.515	425.749
1.31773	424.767	853.468	424.276
1.32354	425.995	853.961	425.749
1.32934	426.487	853.468	426.487
1.33515	427.968	856.926	427.721
1.34095	858.412	427.968
1.34676	856.431	426.487
1.35256	851.99	424.521
1.35837	851.99	424.521
1.36417	850.515	425.995
1.36998	848.552	424.031
1.37578	849.043	424.521
1.38159	851.99	424.767
1.38739	852.482	425.012
1.3932	851.006	424.521
1.399	853.468	426.981
1.40481	854.948	426.734
1.41061	850.024	424.767
1.41642	851.006	425.258
1.42222	855.442	429.206
1.42803	856.926	427.721
1.43383	850.515	428.215
1.43964	851.99	440
1.44544	852.975	427.968
1.45125	854.454	426.241
1.45705	855.442	426.981
1.46286	854.454	429.702
1.46866	845.617	443.573
1.47447	848.062	436.708
1.48027	855.936	430.199
1.48608	849.043	446.658
1.49188	846.594	429.95
1.49769	852.482	428.958
1.50349	856.926	429.454
1.5093	848.552	421.833
1.5151	854.948	425.503
1.52091	854.948	431.443
1.52671	840.261	427.474	872.912
1.53252	848.062	427.968	855.936
1.53832	855.936	432.691	854.948
1.54413	856.431	428.71	866.382
1.54993	855.442	432.441	873.417
1.55574	867.885	435.701	895.899
1.56154	857.421	448.986	895.899
1.56735	855.442	448.727	895.382
1.57315	863.385	451.848	902.652
1.57896	901.61	452.631	880
1.58476	850.024	453.941	906.833
1.59057	845.617	452.631	905.263
1.59637	849.043	452.37	907.357	427.227
1.60218	847.573	443.573	909.981	454.991
1.60798	861.392	438.985	894.865	457.098
1.61379	855.442	429.95	903.696	453.416
1.61959	852.482	434.444	909.456	455.517
1.6254	848.552	431.942	891.769	453.941
1.6312	846.594	422.32	905.263	450.805
1.63701	853.468	421.345	892.8	452.893
1.64281	858.412	431.443	907.881	454.203
1.64862	881.526	437.719	906.833	453.941
1.65442	868.386	437.213	903.174	452.109
1.66023	870.898	450.805	907.881	453.155
1.66603	852.975	447.95	903.696	452.37
1.67184	867.384	448.986	904.74	452.893
1.67764	846.105	445.627	895.899	447.95
1.68345	425.503	871.905	430.447
1.68925	430.199	887.658	443.06
1.69506	433.191	893.316	452.893
1.70086	431.692	872.408	450.545
1.70667	442.549	861.392	447.95
