0
0.00580499
0.01161
0.017415
0.02322
0.0290249
0.0348299
0.0406349
0.0464399
0.0522449
0.0580499
0.0638549
0.0696599
0.0754649
0.0812698
0.0870748
0.0928798
0.0986848
0.10449	587.33
0.110295	588.008
0.1161	593.468
0.121905	596.561
0.12771	597.596
0.133515	596.906
0.13932	599.671
0.145125	598.978	297.936
0.15093	594.497	297.936
0.156735	594.841	296.22
0.16254	589.028	289.12
0.168345	578.241	287.289
0.17415	579.913	288.953
0.179955	581.255	289.12
0.18576	573.583	285.305
0.191565	572.26	287.123
0.19737	571.599	285.305
0.203175	578.241	289.622
0.20898	578.575	287.455
0.214785	575.242	289.789
0.22059	579.578	289.12
0.226395	585.636	293.495
0.2322	588.688	291.468
0.238005	590.732	298.108
0.24381	599.324	305.429
0.249615	604.889	303.144
0.255419	617.599	306.666
0.261224	625.859	309.335
0.267029	636.063	313.834
0.272834	630.212	312.749
0.278639	630.94	314.197
0.284444	636.798	313.653
0.290249	643.082	321.913
0.296054	630.576	316.017
0.301859	630.576	315.288
0.307664	629.848	314.016
0.313469	627.669	314.379
0.319274	626.582	316.2
0.325079	625.497	313.11
0.330884	637.903	314.56
0.336689	629.848	314.742
0.342494	629.484	314.379
0.348299	626.582	310.947
0.354104	639.748	313.11
0.359909	643.826	314.56
0.365714	633.131	313.472
0.371519	620.818	312.207
0.377324	621.895	312.568
0.383129	628.394	315.106
0.388934	627.306	316.383
0.394739	624.414	312.027
0.400544	618.67	312.568
0.406349	621.535	312.749
0.412154	625.136	312.207
0.417959	630.212	314.379
0.423764	623.693	313.472
0.429569	615.107	313.291
0.435374	619.385	309.693
0.441179	622.973	310.588
0.446984	625.497	312.568
0.452789	625.136	313.472
0.458594	624.775	310.588
0.464399	626.582	313.11
0.470204	631.67	314.016
0.476009	624.775	311.667
0.481814	620.818	309.693
0.487619	620.101	310.051
0.493424	625.136	312.749
0.499229	623.333	313.11
0.505034	624.054	312.027
0.510839	624.775	315.106
0.516644	626.22	313.834
0.522449	625.136	313.834
0.528254	626.944	314.197
0.534059	624.414	312.388
0.539864	624.054	310.947
0.545669	625.859	312.568
0.551474	628.394	311.847
0.557279	625.859	313.653
0.563084	623.333	312.388
0.568889	620.818	311.127
0.574694	625.497	313.291
0.580499	623.693	312.929
0.586304	626.22	311.127
0.592109	612.625	312.388
0.597914	616.174	313.834
0.603719	625.497	312.568
0.609524	625.497	311.847
0.615329	618.67	313.11
0.621134	621.177	312.568
0.626939	620.459	310.768
0.632744	620.459	310.768
0.638549	626.22	314.742
0.644354	629.484	314.379
0.650159	622.613	314.56
0.655964	624.414	313.291
0.661769	623.693	312.568
0.667574	624.775	312.568
0.673379	625.859	313.291
0.679184	623.693	312.207
0.684989	622.254	312.568
0.690794	625.497	313.291
0.696599	625.859	313.291
0.702404	626.582	312.027
0.708209	623.693	312.027
0.714014	621.895	311.847
0.719819	626.22	312.207
0.725624	623.693	312.207
0.731429	624.775	314.56
0.737234	623.693	313.11
0.743039	624.054	318.215
0.748844	621.535	310.409
0.754649	622.254	310.947
0.760454	621.895	311.127
0.766258	621.535	310.588
0.772063	625.136	311.847
0.777868	625.497	313.834
0.783673	621.177	310.768
0.789478	624.414	310.051
0.795283	622.254	311.487
0.801088	625.859	313.834
0.806893	626.944	314.016
0.812698	628.394	312.749
0.818503	624.054	312.568
0.824308	622.973	311.307
0.830113	622.254	309.156
0.835918	624.054	313.11
0.841723	625.497	314.924	248.085
0.847528	627.669	313.834	247.513
0.853333	622.973	312.207	247.513
0.859138	622.613	313.472	248.947
0.864943	622.973	310.23	247.656
0.870748	619.028	310.23	264.207
0.876553	622.973	312.207	247.084
0.882358	633.863	312.929	247.656
0.888163	624.414	313.11	248.085
0.893968	625.497	314.197	248.947
0.899773	624.414	312.568	247.37
0.905578	626.22	312.749	247.799
0.911383	626.22	313.653	249.09
0.917188	623.693	313.472	247.084
0.922993	625.136	313.291	249.955
0.928798	627.669	312.929	249.667
0.934603	625.859	314.016	248.229
0.940408	624.414	312.568	247.084
0.946213	626.22	311.847	247.942
0.952018	625.859	312.568	247.942
0.957823	625.497	314.56	247.37
0.963628	624.775	314.56	247.513
0.969433	624.414	313.834	247.799
0.975238	622.613	313.472	248.659
0.981043	627.306	312.388	247.227
0.986848	625.497	314.016	246.372
0.992653	625.497	314.924	247.227
0.998458	624.775	313.11	250.678
1.00426	621.177	311.667	247.799
1.01007	625.497	312.207	247.942
1.01587	623.693	313.11	249.09
1.02168	624.414	312.388	247.656
1.02748	622.973	314.924	247.656
1.03329	624.775	313.653	249.09
1.03909	625.497	312.929	249.234
1.0449	624.054	311.847	248.516
1.0507	629.121	314.016	246.942
1.05651	626.944	313.472	246.657
1.06231	624.414	312.749	248.516
1.06812	623.333	311.847	244.387
1.07392	625.497	313.291	246.799
1.07973	619.385	309.514	248.659
1.08553	624.054	310.947	248.229
1.09134	623.333	311.127	248.803
1.09714	625.136	311.667	249.09
1.10295	625.497	312.929	249.811
1.10875	629.484	315.835	249.09
1.11456	622.613	312.929	248.947
1.12036	625.136	316.017	252.568
1.12617	622.973	313.472	246.372
1.13197	620.818	310.409	246.942
1.13778	622.254	311.307	247.656
