0
0.00580499
0.01161
0.017415
0.02322
0.0290249
0.0348299
0.0406349
0.0464399
0.0522449
0.0580499
0.0638549
0.0696599
0.0754649	185.318
0.0812698	184.997
0.0870748	185.211
0.0928798	185.425
0.0986848	185.425
0.10449	184.997
0.110295	184.57	92.7126
0.1161	184.784	92.4986
0.121905	185.104	92.4986
0.12771	185.104	92.552
0.133515	184.997	92.3918
0.13932	184.997	92.4452
0.145125	184.997	92.3918
0.15093	184.57	92.2318
0.156735	184.784	92.019
0.16254	184.89	92.2851
0.168345	184.997	92.659
0.17415	185.211	92.7661
0.179955	185.532	92.6055
0.18576	185.318	92.3918
0.191565	184.997	92.3385
0.19737	184.997	92.6055
0.203175	185.104	92.659
0.20898	185.104	92.552
0.214785	184.89	92.3918
0.22059	184.997	92.2851
0.226395	185.104	92.4986
0.2322	185.318	92.552
0.238005	185.211	92.4986
0.24381	184.677	92.1254
0.249615	184.677	92.1786
0.255419	184.784	92.4452
0.261224	184.997	92.552
0.267029	185.318	92.7126
0.272834	185.425	92.552
0.278639	185.211	92.4986
0.284444	185.104	92.4452
0.290249	184.89	92.552
0.296054	184.89	92.4986
0.301859	184.784	92.3918
0.307664	184.784	92.3918
0.313469	185.104	92.3918
0.319274	184.997	92.552
0.325079	184.89	92.552
0.330884	184.677	92.2851
0.336689	184.784	92.2851
0.342494	184.784	92.3385
0.348299	184.784	92.3918
0.354104	184.89	92.6055
0.359909	185.211	92.659
0.365714	184.997	92.552
0.371519	185.104	92.3918
0.377324	184.89	92.3918
0.383129	184.784	92.552
0.388934	184.677	92.4452
0.394739	184.997	92.4452
0.400544	185.318	92.2318
0.406349	185.318	92.4986
0.412154	185.211	92.552
0.417959	184.997	92.6055
0.423764	184.997	92.3385
0.429569	184.89	92.1786
0.435374	184.784	92.1786
0.441179	184.677	92.4986
0.446984	184.997	92.6055
0.452789	185.104	92.659
0.458594	185.318	92.3918
0.464399	185.104	92.4452
0.470204	184.89	92.552
0.476009	184.784	92.552
0.481814	184.784	92.4986
0.487619	184.89	92.1254
0.493424	185.211	92.3918
0.499229	185.104	92.659
0.505034	184.997	92.8734
0.510839	185.104	92.6055
0.516644	184.997	92.0722
0.522449	184.57	92.3385
0.528254	184.89	92.552
0.534059	184.997	92.7126
0.539864	184.89	92.659
0.545669	184.89	92.3385
0.551474	185.104	92.4986
0.557279	185.104	92.4452
0.563084	184.784	92.552
0.568889	184.89	92.1786
0.574694	184.997	92.1786
0.580499	184.89	92.4986
0.586304	184.997	92.3385
0.592109	185.211	92.7126
0.597914	184.89	92.6055
0.603719	184.677	92.1786
0.609524	184.997	91.9128
0.615329	184.997	92.3385
0.621134	184.89	92.6055
0.626939	184.997	92.8734
0.632744	185.211	92.6055
0.638549	184.784	92.3918
0.644354	184.784	92.1786
0.650159	184.677	92.4452
0.655964	184.89	92.6055
0.661769	184.997	92.3385
0.667574	185.318	92.6055
0.673379	185.211	92.3385
0.679184	185.104	92.7126
0.684989	184.997	92.7661
0.690794	184.997	92.3385
0.696599	184.677	91.8066
0.702404	184.677	92.1786
0.708209	184.997	92.552
0.714014	184.997	92.7661
0.719819	185.104	92.552
0.725624	185.104	92.4986
0.731429	184.89	92.1786
0.737234	184.677	92.4452
0.743039	184.784	92.6055
0.748844	184.89	92.4452
0.754649	184.997	92.1254
0.760454	185.211	92.7126
0.766258	185.211	92.8734
0.772063	184.997	92.8197
0.777868	184.997	92.6055
0.783673	184.997	92.0722
0.789478	184.677	91.8066
0.795283	184.57	92.4986
0.801088	184.89	92.659
0.806893	185.104	92.7126
0.812698	184.997	92.1786
0.818503	184.89	92.1786
0.824308	184.89	92.4986
0.830113	184.677	92.1786
0.835918	184.677	92.4986
0.841723	184.784	92.2318
0.847528	184.677	92.3918
0.853333	184.784	92.2851
0.859138	184.89	92.7661
0.864943	184.997	92.6055
0.870748	184.89	92.2851
0.876553	184.89	92.3918
0.882358	184.89	92.3918
0.888163	184.997	92.7661
0.893968	184.89	92.7126
0.899773	184.784	92.2318
0.905578	184.89	91.7536
0.911383	184.677	92.0722
0.917188	184.784	92.0722
0.922993	184.677	92.2851
0.928798	184.677	92.2318
0.934603	184.677	92.3385
0.940408	184.784	92.3918
0.946213	184.784	92.3385
0.952018	184.997	92.4452
0.957823	184.89	92.4452
0.963628	184.784	92.1786
0.969433	184.784	92.1786
0.975238	184.784	92.4452
0.981043	185.104	92.4452
0.986848	185.104	92.6055
0.992653	184.89	92.4986
0.998458	184.677	92.0722
1.00426	184.784	92.2851
1.01007	184.784	92.552
1.01587	184.997	92.4986
1.02168	184.89	92.1786
1.02748	184.038	91.9659
1.03329	183.932	91.4362
1.03909	183.613	89.0901	136.92
1.0449	185.425	93.4114	137.793
1.0507	187.688	93.7898	139.153
1.05651	185.211	92.552	138.032
1.06231	185.104	92.659	138.752
1.06812	185.104	92.659	139.797
1.07392	184.144	92.0722	139.072
1.07973	184.038	91.9659	138.912
1.08553	181.714	92.7126	138.832
1.09134	184.89	92.4452	138.992
1.09714	184.464	92.2318	138.752
1.10295	184.57	92.7661	138.671
1.10875	182.24	92.7126	138.752
1.11456	184.784	92.0722	138.591
1.12036	184.251	92.019	138.992
1.12617	184.677	91.9128	138.511
1.13197	182.767	92.552	138.591
1.13778	184.357	92.4452	138.912
1.14358	184.251	92.4452	138.912
1.14939	184.677	92.2851	138.992
1.15519	184.89	92.0722	138.431
1.161	184.57	92.1254	138.671
1.1668	184.464	92.2851	138.591
1.17261	184.357	92.4452	138.671
1.17841	184.677	91.8597	138.511
1.18422	184.038	138.832
1.19002	184.251	138.912
1.19583	182.45	138.671
1.20163	185.104	138.192
1.20744	184.57	138.192
1.21324	184.997	138.752
1.21905	185.104	138.912
1.22485	184.144	139.072
1.23066	184.144	138.671
1.23646	182.978	138.431
1.24227	182.556	138.511
1.24807	184.677	138.671
1.25388	184.784	139.072
1.25968	185.211	138.752
1.26549	182.767	138.752
1.27129	183.825	138.591
1.2771	184.57	138.752
1.2829	184.997	138.992
1.28871	184.677	138.752
1.29451	184.251	138.832
1.30032	184.784	139.072
1.30612	185.318	138.912
1.31193	184.57	138.752
1.31773	184.144	138.912
1.32354	185.104	139.072
1.32934	184.997	138.431
1.33515	184.144	138.671
1.34095	184.251	138.351
1.34676	183.084	138.992
1.35256	185.104	138.832
1.35837	184.357	138.832
1.36417	184.57	138.752
1.36998	185.104	139.717
1.37578	184.464	138.671
1.38159	184.038	138.752
1.38739	183.825	138.752
1.3932	182.661	138.511
1.399	184.464	138.591
1.40481	183.932	138.591
1.41061	184.677	138.511
1.41642	184.57	138.671
