0
0.00580499
0.01161
0.017415
0.02322
0.0290249
0.0348299
0.0406349	65.5577
0.0464399	66.5881
0.0522449	65.5956
0.0580499	64.9921
0.0638549	65.5956
0.0696599	65.7473
0.0754649	65.9375
0.0812698	65.8613
0.0870748	65.6714
0.0928798	65.4064
0.0986848	65.8994
0.10449	66.5112
0.110295	66.6651
0.1161	66.2811
0.121905	65.5198
0.12771	65.5577	327.918
0.133515	65.6714	328.867
0.13932	65.4064	331.346
0.145125	65.7473	330.199
0.15093	65.5956	329.628
0.156735	66.2429	337.332
0.16254	66.3194	337.332
0.168345	65.482	336.943
0.17415	65.7853	330.199
0.179955	65.5577	326.595
0.18576	65.482	326.407
0.191565	65.8994	329.247
0.19737	65.7473	331.729
0.203175	66.2429	334.809
0.20898	66.2429	336.554
0.214785	66.3194	335.971
0.22059	66.3961	336.165
0.226395	66.0137	331.537
0.2322	65.7473	327.54
0.238005	65.7093	327.351
0.24381	65.5198	328.867
0.249615	65.9375	332.688
0.255419	66.0518	336.359
0.261224	66.1664	337.917
0.267029	66.2811	338.503
0.272834	65.9375	336.359
0.278639	65.9375	336.359
0.284444	65.6335	328.108
0.290249	65.6714	325.841
0.296054	65.6335	328.867
0.301859	65.6335	331.729
0.307664	65.7853	336.359
0.313469	65.5198	336.748
0.319274	66.0518	335.971
0.325079	66.0518	330.772
0.330884	65.9756	330.963
0.336689	65.7853	329.818
0.342494	65.7853	327.918
0.348299	65.6714	328.487
0.354104	66.0518	335.196
0.359909	66.1664	335.971
0.365714	66.1282	335.971
0.371519	66.0137	331.92
0.377324	65.7473	329.818
0.383129	65.8233	329.628
0.388934	65.5577	330.772
0.394739	65.5198	328.297
0.400544	65.6714	328.487
0.406349	66.0518	336.748
0.412154	66.2046	335.777
0.417959	65.7473	338.308
0.423764	66.1664	336.943
0.429569	65.8613	330.581
0.435374	65.6714	327.54
0.441179	65.5956	330.199
0.446984	65.6714	330.009
0.452789	65.8233	331.346
0.458594	66.09	335.971
0.464399	66.1282	336.943
0.470204	66.2046	337.137
0.476009	65.8613	332.88
0.481814	65.6335	329.818
0.487619	65.5577	326.03
0.493424	65.3686	327.162
0.499229	65.5577	329.247
0.505034	65.7853	332.496
0.510839	66.2046	337.332
0.516644	66.3577	336.554
0.522449	66.2046	335.971
0.528254	66.09	332.496
0.534059	65.8994	329.247
0.539864	65.7093	329.247
0.545669	65.6714	327.351
0.551474	65.7093	329.437
