0
0.00580499
0.01161
0.017415
0.02322
0.0290249	98.1688
0.0348299	98.4528
0.0406349	98.3391
0.0464399	98.1121
0.0522449	98.2823
0.0580499	98.4528
0.0638549	98.2823
0.0696599	98.2255
0.0754649	98.5096
0.0812698	98.2823
0.0870748	97.9989
0.0928798	98.2255
0.0986848	98.5096
0.10449	98.2823
0.110295	98.2255
0.1161	98.2255
0.121905	98.1688
0.12771	98.0555
0.133515	98.2823
0.13932	98.4528
0.145125	98.3959
0.15093	98.2823
0.156735	98.3391
0.16254	98.3391
0.168345	98.3959
0.17415	98.4528
0.179955	98.3959
0.18576	98.3959	588.348
0.191565	98.3391	588.348
0.19737	98.2255	588.008
0.203175	98.2255	588.008
0.20898	98.2255	587.669
0.214785	98.3391	587.669
0.22059	98.3391	587.669	146.494
0.226395	98.1121	587.669	148.11
0.2322	98.1121	587.669	146.578
0.238005	98.2823	587.669	145.65
0.24381	98.3391	588.008	147.598
0.249615	98.2823	588.008	148.025
0.255419	98.1121	588.348	146.071
0.261224	98.3959	588.348	146.663
0.267029	98.1688	588.348	148.11
0.272834	98.2255	588.348	146.748
0.278639	98.4528	588.688	145.902
0.284444	98.3959	588.688	147.598
0.290249	98.2255	588.348	147.854
0.296054	98.3391	588.348	146.24
0.301859	98.2823	588.348	146.578
0.307664	98.1688	588.008	148.025
0.313469	98.1688	588.008	146.748
0.319274	97.9989	588.008	145.987
0.325079	98.3391	587.669	147.598
0.330884	98.3391	588.008	147.939
0.336689	98.3959	588.008	146.24
0.342494	98.2255	588.008	146.409
0.348299	98.1121	588.008	147.854
0.354104	98.2255	588.348	146.663
0.359909	98.3959	588.348	146.155
0.365714	98.4528	588.348	147.768
0.371519	98.4528	588.348	148.025
0.377324	98.1688	588.688	146.24
0.383129	98.2823	588.688	146.578
0.388934	98.2255	588.688	148.025
0.394739	98.1688	588.348	147.002
0.400544	98.2823	588.348	145.987
0.406349	98.2255	588.008	147.172
0.412154	98.3391	588.008	147.512
0.417959	98.2823	587.669	146.155
0.423764	98.0555	587.669	146.494
0.429569	98.0555	587.33	147.768
0.435374	98.2823	587.669	147.002
0.441179	98.1688	588.008	146.24
